zipcode,area,bet,bath,sqft,type,built,year,price,house_id
94555.0,Northgate,4.0,1.0,1400.0,Single Family,1970.0,0.0,986436.0,0
94555.0,Northgate,4.0,1.0,1400.0,Single Family,1970.0,6620.0,292000.0,0
94555.0,Northgate,4.0,1.0,1400.0,Single Family,1970.0,4532.0,140000.0,0
94555.0,Northgate,4.0,1.0,1400.0,Single Family,1970.0,,nan,0
94555.0,Northgate,4.0,1.0,1400.0,Single Family,1970.0,,nan,0
94555.0,Northgate,4.0,1.0,1400.0,Single Family,1970.0,,nan,0
94538.0,Downtown,2.0,2.0,1042.0,Condo,1972.0,0.0,535006.0,1
94538.0,Downtown,2.0,2.0,1042.0,Condo,1972.0,5362.0,225000.0,1
94538.0,Downtown,2.0,2.0,1042.0,Condo,1972.0,79.0,160000.0,1
94538.0,Downtown,2.0,2.0,1042.0,Condo,1972.0,,nan,1
94538.0,Downtown,2.0,2.0,1042.0,Condo,1972.0,,nan,1
94538.0,Downtown,2.0,2.0,1042.0,Condo,1972.0,,nan,1
94539.0,Mission Valley,3.0,2.0,1434.0,Single Family,1961.0,0.0,1320951.0,2
94539.0,Mission Valley,3.0,2.0,1434.0,Single Family,1961.0,82.0,130000.0,2
94539.0,Mission Valley,3.0,2.0,1434.0,Single Family,1961.0,,nan,2
94539.0,Mission Valley,3.0,2.0,1434.0,Single Family,1961.0,,nan,2
94539.0,Mission Valley,3.0,2.0,1434.0,Single Family,1961.0,,nan,2
94539.0,Mission Valley,3.0,2.0,1434.0,Single Family,1961.0,,nan,2
94538.0,Sundale,3.0,1.0,948.0,Single Family,1959.0,0.0,668271.0,3
94538.0,Sundale,3.0,1.0,948.0,Single Family,1959.0,6229.0,329000.0,3
94538.0,Sundale,3.0,1.0,948.0,Single Family,1959.0,86.0,141500.0,3
94538.0,Sundale,3.0,1.0,948.0,Single Family,1959.0,,nan,3
94538.0,Sundale,3.0,1.0,948.0,Single Family,1959.0,,nan,3
94538.0,Sundale,3.0,1.0,948.0,Single Family,1959.0,,nan,3
94538.0,Blacow,2.0,2.5,1157.0,Condo,1994.0,0.0,710981.0,4
94538.0,Blacow,2.0,2.5,1157.0,Condo,1994.0,8185.0,173000.0,4
94538.0,Blacow,2.0,2.5,1157.0,Condo,1994.0,6347.0,244500.0,4
94538.0,Blacow,2.0,2.5,1157.0,Condo,1994.0,726.0,605000.0,4
94538.0,Blacow,2.0,2.5,1157.0,Condo,1994.0,107.0,60000.0,4
94538.0,Blacow,2.0,2.5,1157.0,Condo,1994.0,,nan,4
94539.0,Vineyards-Avalon,4.0,1.5,3659.0,Single Family,1986.0,0.0,1696201.0,5
94539.0,Vineyards-Avalon,4.0,1.5,3659.0,Single Family,1986.0,8502.0,550000.0,5
94539.0,Vineyards-Avalon,4.0,1.5,3659.0,Single Family,1986.0,1479.0,675000.0,5
94539.0,Vineyards-Avalon,4.0,1.5,3659.0,Single Family,1986.0,109.0,152000.0,5
94539.0,Vineyards-Avalon,4.0,1.5,3659.0,Single Family,1986.0,,nan,5
94539.0,Vineyards-Avalon,4.0,1.5,3659.0,Single Family,1986.0,,nan,5
94538.0,Cherry-Guardino,1.0,1.0,693.0,Condo,1987.0,0.0,371304.0,6
94538.0,Cherry-Guardino,1.0,1.0,693.0,Condo,1987.0,4759.0,238000.0,6
94538.0,Cherry-Guardino,1.0,1.0,693.0,Condo,1987.0,115.0,105000.0,6
94538.0,Cherry-Guardino,1.0,1.0,693.0,Condo,1987.0,,nan,6
94538.0,Cherry-Guardino,1.0,1.0,693.0,Condo,1987.0,,nan,6
94538.0,Cherry-Guardino,1.0,1.0,693.0,Condo,1987.0,,nan,6
94536.0,Glenmoor,4.0,1.5,2070.0,Single Family,1917.0,0.0,1243787.0,7
94536.0,Glenmoor,4.0,1.5,2070.0,Single Family,1917.0,4191.0,1000000.0,7
